NodeType,NodeEID,NodeLabel,HabQuantity,HabUnits,BarrierPerm,NaturalTF,DownstreamEID,DownstreamNodeLabel,DownstreamNeighDistance,DistanceUnits
Branch Junction,448,320,1799.08,Metres,1,F,426,300155,1799.08,Metres
Barrier,433,300153,417.21,Metres,1,F,428,444,417.21,Metres
Source Junction,581,461,290.05,Metres,1,F,428,444,290.05,Metres
Source Junction,437,392,776.96,Metres,1,F,430,300154,776.96,Metres
Branch Junction,388,45,90.46,Metres,1,F,386,300192,90.46,Metres
Source Junction,667,1044,82.11,Metres,1,F,663,1042,82.11,Metres
Barrier,669,300189,177.4,Metres,1,F,663,1042,177.4,Metres
Source Junction,678,1144,570.32,Metres,1,F,665,300190,570.32,Metres
Source Junction,601,801,263.47,Metres,1,F,599,800,263.47,Metres
Source Junction,602,826,355.93,Metres,1,F,599,800,355.93,Metres
Barrier,651,300127,127.26,Metres,1,F,649,903,127.26,Metres
Source Junction,656,882,317.4,Metres,1,F,649,903,317.4,Metres
Barrier,596,300061,15.92,Metres,1,F,594,708,15.92,Metres
Barrier,605,300091,463.06,Metres,1,F,594,708,463.06,Metres
Source Junction,619,784,138.32,Metres,1,F,616,300045,138.32,Metres
Branch Junction,679,885,151.42,Metres,1,F,658,300128,151.42,Metres
Branch Junction,416,129,38.39,Metres,1,F,414,300147,38.39,Metres
Barrier,439,300181,876.21,Metres,1,F,448,320,876.21,Metres
Branch Junction,450,323,192.24,Metres,1,F,448,320,192.24,Metres
Branch Junction,583,451,154.75,Metres,1,F,433,300153,154.75,Metres
Source Junction,381,20,584.86,Metres,1,F,388,45,584.86,Metres
Barrier,392,300097,12.26,Metres,1,F,388,45,12.26,Metres
Branch Junction,673,1079,175.93,Metres,1,F,669,300189,175.93,Metres
Source Junction,662,950,619.55,Metres,1,F,651,300127,619.55,Metres
Barrier,615,300046,591.79,Metres,1,F,596,300061,591.79,Metres
Branch Junction,607,637,346.69,Metres,1,F,605,300091,346.69,Metres
Barrier,681,300199,29.68,Metres,1,F,679,885,29.68,Metres
Branch Junction,684,949,332.18,Metres,1,F,679,885,332.18,Metres
Barrier,418,300146,240.93,Metres,1,F,416,129,240.93,Metres
Branch Junction,422,165,915.43,Metres,1,F,416,129,915.43,Metres
Branch Junction,791,198,756.76,Metres,1,F,439,300181,756.76,Metres
Barrier,449,100014,36.66,Metres,1,F,450,323,36.66,Metres
Barrier,459,300179,456.45,Metres,1,F,450,323,456.45,Metres
Barrier,462,300094,2259.03,Metres,1,F,583,451,2259.03,Metres
Barrier,585,300185,125.88,Metres,1,F,583,451,125.88,Metres
Barrier,383,300060,795.88,Metres,1,F,392,300097,795.88,Metres
Source Junction,674,1074,21.93,Metres,1,F,673,1079,21.93,Metres
Branch Junction,709,1131,1013.96,Metres,1,F,673,1079,1013.96,Metres
Branch Junction,610,719,168.98,Metres,1,F,615,300046,168.98,Metres
Source Junction,628,629,280.15,Metres,1,F,607,637,280.15,Metres
Source Junction,629,639,287.26,Metres,1,F,607,637,287.26,Metres
Branch Junction,691,871,555.15,Metres,1,F,681,300199,555.15,Metres
Source Junction,683,978,113.39,Metres,1,F,684,949,113.39,Metres
Barrier,686,300198,30.57,Metres,1,F,684,949,30.57,Metres
Branch Junction,378,101,937.95,Metres,1,F,418,300146,937.95,Metres
Source Junction,438,185,219.33,Metres,1,F,422,165,219.33,Metres
Source Junction,788,122,1845.32,Metres,1,F,422,165,1845.32,Metres
Source Junction,795,124,1542.88,Metres,1,F,791,198,1542.88,Metres
Barrier,830,300188,1944.23,Metres,1,F,791,198,1944.23,Metres
Barrier,454,100015,297.25,Metres,0,F,449,100014,297.25,Metres
Branch Junction,803,338,607.33,Metres,1,F,459,300179,607.33,Metres
Barrier,466,300125,371.49,Metres,1,F,462,300094,371.49,Metres
Branch Junction,589,473,441.15,Metres,1,F,585,300185,441.15,Metres
Source Junction,735,18,956.25,Metres,1,F,383,300060,956.25,Metres
Barrier,710,300186,37.74,Metres,1,F,709,1131,37.74,Metres
Barrier,714,300151,158,Metres,1,F,709,1131,158,Metres
Barrier,632,300207,722.73,Metres,1,F,610,719,722.73,Metres
Branch Junction,637,746,228.8,Metres,1,F,610,719,228.8,Metres
Barrier,643,300160,238.04,Metres,1,F,691,871,238.04,Metres
Branch Junction,1175,867,838.43,Metres,1,F,691,871,838.43,Metres
Branch Junction,692,968,167.28,Metres,1,F,686,300198,167.28,Metres
Barrier,401,300059,1710.89,Metres,1,F,378,101,1710.89,Metres
Barrier,404,100019,1288.17,Metres,0,F,378,101,1288.17,Metres
Branch Junction,832,151,84.15,Metres,1,F,830,300188,84.15,Metres
Barrier,447,100017,229.91,Metres,0,F,454,100015,229.91,Metres
Source Junction,804,345,525.06,Metres,1,F,803,338,525.06,Metres
Source Junction,812,322,587.72,Metres,1,F,803,338,587.72,Metres
Branch Junction,809,429,620.13,Metres,1,F,466,300125,620.13,Metres
Branch Junction,622,550,1087.51,Metres,1,F,589,473,1087.51,Metres
Barrier,1056,300124,2002.66,Metres,1,F,589,473,2002.66,Metres
Barrier,717,300085,190.28,Metres,1,F,710,300186,190.28,Metres
Barrier,726,300202,907.9,Metres,1,F,714,300151,907.9,Metres
Branch Junction,633,647,168.74,Metres,1,F,632,300207,168.74,Metres
Source Junction,638,747,23.55,Metres,1,F,637,746,23.55,Metres
Branch Junction,639,756,222.28,Metres,1,F,637,746,222.28,Metres
Source Junction,646,779,732.71,Metres,1,F,643,300160,732.71,Metres
Branch Junction,1085,859,182.32,Metres,1,F,1175,867,182.32,Metres
Branch Junction,1176,892,381.29,Metres,1,F,1175,867,381.29,Metres
